date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:15	4401/4401	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:45%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-moscardini.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-moscardini.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:15	2996/2996	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:47%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-starluz.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-starluz.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:15	4427/4427	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:45%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-dutraclinic.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-dutraclinic.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:16	4070/4070	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:47%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-vidaluz.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-vidaluz.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:16	3412/3412	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2000:53:44%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/cliente-acomac.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/cliente-acomac.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:16	23375/23375	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Feb%202020%2001:44:30%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/02/paguecom-seguranca-1024x148.jpg	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/02/paguecom-seguranca-1024x148.jpg	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:16	11254/11254	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Apr%202020%2021:57:11%20GMT	https://www.ivanmaia.com/wp-content/uploads/2020/04/ivan-garantia-7-dias.png	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/2020/04/ivan-garantia-7-dias.png	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:16	18468/18468	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2016:42:49%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.8.1	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/animations/animations.min7e2e.css	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:17	1288/1288	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2013%20May%202023%2011:37:37%20GMT	https://www.ivanmaia.com/wp-content/plugins/activecampaign-subscription-forms/site_tracking.js?ver=6.1.3	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/activecampaign-subscription-forms/site_tracking6fb3.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:17	10241/10241	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2013%20May%202023%2011:37:41%20GMT	https://www.ivanmaia.com/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.7.6	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/contact-form-7/includes/swv/js/indexcfaa.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:17	12943/12943	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2013%20May%202023%2011:37:41%20GMT	https://www.ivanmaia.com/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.7.6	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/contact-form-7/includes/js/indexcfaa.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:18	887/887	---MC-	200	added ('OK')	text/javascript	date:Wed,%2002%20Aug%202023%2020:15:10%20GMT	https://www.google.com/recaptcha/api.js?render=6Lf_QAYhAAAAAB71xChoeq6VMlc5pGjK1va_twFS&ver=3.0	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.google.com/recaptcha/api24ac.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:18	6475/6475	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:40:21%20GMT	https://www.ivanmaia.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:18	17823/17823	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:40:21%20GMT	https://www.ivanmaia.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:18	999/999	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2013%20May%202023%2011:37:41%20GMT	https://www.ivanmaia.com/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=5.7.6	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/contact-form-7/modules/recaptcha/indexcfaa.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:18	5184/5184	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:42:33%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.7.5	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min3430.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:19	4957/4957	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:42:49%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.8.1	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min7e2e.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:19	32947/32947	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:42:49%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.8.1	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor/assets/js/frontend-modules.min7e2e.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:19	4910/4910	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:40:21%20GMT	https://www.ivanmaia.com/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-includes/js/dist/hooks.min6c65.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:19	10230/10230	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:40:21%20GMT	https://www.ivanmaia.com/wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-includes/js/dist/i18n.mine57b.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:20	21417/21417	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:42:33%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.7.5	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor-pro/assets/js/frontend.min3430.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:20	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:42:49%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:20	21440/21440	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:40:21%20GMT	https://www.ivanmaia.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-includes/js/jquery/ui/core.min3f14.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:20	139153/139153	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:42:49%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:20	2620/2620	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:42:49%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.8.1	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor/assets/lib/share-link/share-link.min7e2e.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
